service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,1,1,1,0,0,20191124,20200201
3,0,0,0,0,0,1,0,20191124,20200201
4,0,0,0,0,0,0,1,20191124,20200201
5,0,0,0,0,0,0,0,20191124,20200201
6,0,0,0,0,0,0,0,20191124,20200201
8,0,0,0,0,0,0,0,20191124,20200201
30,0,0,0,0,0,0,0,20191124,20200201
3602,0,0,0,0,0,0,0,20191124,20200201
3302,0,0,0,0,0,0,0,20191124,20200201
3303,0,0,0,0,0,0,0,20191124,20200201
6404,0,0,0,0,0,0,0,20191124,20200201
